"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Gujarat","Rajkot","Rajkot(Ghee Peeth)","Cluster beans","Cluster Beans","12/11/2019","5000","7000","6250"
"Gujarat","Rajkot","Rajkot(Ghee Peeth)","Coriander(Leaves)","Coriander","12/11/2019","2750","4000","3500"
"Gujarat","Rajkot","Rajkot(Ghee Peeth)","Ginger(Green)","Green Ginger","12/11/2019","5500","6500","6000"
"Gujarat","Rajkot","Rajkot(Ghee Peeth)","Green Chilli","Green Chilly","12/11/2019","500","1000","825"
"Gujarat","Rajkot","Rajkot(Ghee Peeth)","Lemon","Lemon","12/11/2019","2000","3500","2875"
"Gujarat","Rajkot","Rajkot(Ghee Peeth)","Onion","Onion","12/11/2019","1500","3750","3000"
"Gujarat","Rajkot","Rajkot(Ghee Peeth)","Potato","Desi","12/11/2019","1000","1700","1400"
"Gujarat","Rajkot","Rajkot(Ghee Peeth)","Tomato","Tomato","12/11/2019","2100","2750","2500"
"Gujarat","Surat","Surat","Banana - Green","Other","12/11/2019","800","1300","1050"
"Gujarat","Surat","Surat","Beetroot","Other","12/11/2019","1300","2000","1650"
"Gujarat","Surat","Surat","Bhindi(Ladies Finger)","Other","12/11/2019","1500","3500","2500"
"Gujarat","Surat","Surat","Bitter gourd","Other","12/11/2019","1000","3000","2000"
"Gujarat","Surat","Surat","Bottle gourd","Other","12/11/2019","1250","3500","2375"
"Gujarat","Surat","Surat","Brinjal","Other","12/11/2019","1750","4500","3125"
"Gujarat","Surat","Surat","Cabbage","Other","12/11/2019","1300","2250","1775"
"Gujarat","Surat","Surat","Capsicum","Other","12/11/2019","2000","3500","2750"
"Gujarat","Surat","Surat","Carrot","Other","12/11/2019","4250","9000","6625"
"Gujarat","Surat","Surat","Cauliflower","Other","12/11/2019","1300","3500","2400"
"Gujarat","Surat","Surat","Cluster beans","Other","12/11/2019","2250","5000","3625"
"Gujarat","Surat","Surat","Cowpea(Veg)","Other","12/11/2019","2500","5250","3875"
"Gujarat","Surat","Surat","Cucumbar(Kheera)","Other","12/11/2019","1300","2250","1775"
"Gujarat","Surat","Surat","Drumstick","Other","12/11/2019","7500","12500","10000"
"Gujarat","Surat","Surat","Elephant Yam (Suran)","Other","12/11/2019","1400","1800","1600"
"Gujarat","Surat","Surat","French Beans (Frasbean)","Other","12/11/2019","1750","3000","2375"
"Gujarat","Surat","Surat","Ginger(Green)","Other","12/11/2019","4500","6000","5250"
"Gujarat","Surat","Surat","Green Chilli","Other","12/11/2019","1100","2000","1550"
"Gujarat","Surat","Surat","Groundnut pods (raw)","Other","12/11/2019","2500","3750","3125"
"Gujarat","Surat","Surat","Indian Beans (Seam)","Other","12/11/2019","1750","2900","2325"
"Gujarat","Surat","Surat","Lemon","Other","12/11/2019","750","2750","1750"
"Gujarat","Surat","Surat","Little gourd (Kundru)","Other","12/11/2019","1500","5500","3500"
"Gujarat","Surat","Surat","Mango (Raw-Ripe)","Other","12/11/2019","6000","7000","6500"
"Gujarat","Surat","Surat","Onion","Other","12/11/2019","1500","6000","3750"
"Gujarat","Surat","Surat","Papaya (Raw)","Other","12/11/2019","600","1000","800"
"Gujarat","Surat","Surat","Peas cod","Other","12/11/2019","5000","8000","6500"
"Gujarat","Surat","Surat","Pegeon Pea (Arhar Fali)","Other","12/11/2019","3000","8500","5750"
"Gujarat","Surat","Surat","Pointed gourd (Parval)","Other","12/11/2019","2500","4750","3625"
"Gujarat","Surat","Surat","Potato","Other","12/11/2019","1150","1950","1550"
"Gujarat","Surat","Surat","Pumpkin","Other","12/11/2019","600","1400","1000"
"Gujarat","Surat","Surat","Ridgeguard(Tori)","Other","12/11/2019","1500","4500","3000"
"Gujarat","Surat","Surat","Sponge gourd","Other","12/11/2019","1250","2800","2025"
"Gujarat","Surat","Surat","Surat Beans (Papadi)","Other","12/11/2019","3000","7750","5375"
"Gujarat","Surat","Surat","Sweet Potato","Other","12/11/2019","1300","2750","2025"
"Gujarat","Surat","Surat","Turmeric (raw)","Other","12/11/2019","1750","2750","2250"
"Gujarat","Surat","Surat","Yam (Ratalu)","Other","12/11/2019","6000","8500","7250"
"Gujarat","Surendranagar","Chotila","Bajra(Pearl Millet/Cumbu)","Hybrid","12/11/2019","1750","2400","2150"
"Gujarat","Surendranagar","Chotila","Cotton","Shanker 6 (B) 30mm FIne","12/11/2019","4500","5500","5100"
"Gujarat","Surendranagar","Chotila","Cummin Seed(Jeera)","Cummin Seed(Jeera)","12/11/2019","12500","17500","15500"
"Gujarat","Surendranagar","Chotila","Sesamum(Sesame,Gingelly,Til)","White","12/11/2019","11500","14500","13500"
"Gujarat","Surendranagar","Chotila","Wheat","Local","12/11/2019","1700","2350","2050"
"Gujarat","Vadodara(Baroda)","Bodeli","Cotton","Shanker 6 (B) 30mm FIne","12/11/2019","4300","4800","4500"
"Gujarat","Vadodara(Baroda)","Bodeli(Hadod)","Cotton","Shanker 6 (B) 30mm FIne","12/11/2019","4300","4752","4500"
"Gujarat","Vadodara(Baroda)","Bodeli(Kalediya)","Cotton","Shanker 6 (B) 30mm FIne","12/11/2019","4300","4750","4500"
"Gujarat","Vadodara(Baroda)","Bodeli(Modasar)","Cotton","Shanker 6 (B) 30mm FIne","12/11/2019","4300","4800","4500"
"Gujarat","Vadodara(Baroda)","Vagodiya","Paddy(Dhan)(Common)","G. R. 11","12/11/2019","1480","1550","1500"
"Haryana","Kurukshetra","Pehowa","Banana","Other","12/11/2019","1600","1600","1600"
"Haryana","Kurukshetra","Pehowa","Bitter gourd","Other","12/11/2019","1500","1500","1500"
"Haryana","Kurukshetra","Pehowa","Cabbage","Other","12/11/2019","1500","1500","1500"
"Haryana","Kurukshetra","Pehowa","Cauliflower","Other","12/11/2019","600","600","600"
"Haryana","Kurukshetra","Pehowa","Green Chilli","Other","12/11/2019","1900","2420","2300"
"Haryana","Kurukshetra","Pehowa","Tinda","Other","12/11/2019","1600","1600","1600"
